Designator,Mid X,Mid Y,Rotation,Layer
C1,142.8,-100.8,270.0,top
C10,142.1,-107.8,180.0,top
C11,153.7,-100.6,0.0,top
C12,141.9,-104.8,270.0,top
C13,155.2,-105.1,0.0,top
C14,151.8,-113.3,270.0,top
C15,153.7,-102.1,0.0,top
C2,148.4,-100.725,90.0,top
C3,134.0,-100.2,0.0,top
C4,143.4,-104.8,270.0,top
C5,144.5,-113.3,90.0,top
C6,150.3,-113.3,90.0,top
C7,155.2,-106.6,0.0,top
C8,155.2,-103.6,0.0,top
C9,155.2,-108.6,0.0,top
D1,142.1,-109.3,0.0,top
F1,145.7,-97.9,180.0,top
FID1,169.3,-106.7,180.0,top
FID2,169.3,-106.7,90.0,bottom
FID3,122.0,-99.0,90.0,bottom
FID4,122.0,-99.0,90.0,top
J1,148.0,-95.0,180.0,top
R2,137.6,-100.2,180.0,top
R3,149.9,-100.675,90.0,top
R4,151.4,-100.675,90.0,top
R5,139.85,-108.55,270.0,top
R7,148.9,-97.65,90.0,top
SW1,128.0,-97.0,180.0,top
SW10,177.6,-97.3,270.0,top
SW11,141.0,-113.0,90.0,top
SW12,155.0,-113.0,270.0,top
SW13,141.0,-97.0,180.0,top
SW14,155.0,-97.0,180.0,top
SW2,121.0,-104.0,180.0,top
SW3,128.0,-111.0,0.0,top
SW4,135.0,-104.0,180.0,top
SW5,118.4,-97.2,90.0,top
SW6,167.85,-97.1,180.0,top
SW7,161.0,-104.0,0.0,top
SW8,175.0,-104.1,180.0,top
SW9,168.0,-111.0,180.0,top
U1,145.6,-100.8,180.0,top
U2,150.7525,-97.65,90.0,top
U3,135.85,-96.725,180.0,top
U4,148.8625,-107.0625,90.0,top
Y1,147.4,-113.1,0.0,top
